10-14 years old,15-19 years old,20-24 years old,25-29 years old,30-34 years old,35-49 years old,50-69 years old,70+ years old
1.618270493,3.433749768,4.386171973,5.105027699,5.749905423,5.010371513,6.131182708,-
0.90039551,2.004013577,2.437424275,2.398396392,2.401417502,2.487746614,3.664051694,4.399558106
1.757577793,3.40412185,3.8544754,4.25638565,4.630534189,4.52280769,5.402483209,4.848270209
1.063623258,2.43816724,2.885708009,2.862544102,2.971753805,3.115500657,5.451378497,5.746022223
1.024932332,2.354957906,2.884113133,2.933790079,2.966046999,2.969004144,4.408046489,4.663442536
1.82338776,3.507256581,4.289081612,4.627740207,4.862243329,4.805177305,4.882616728,4.827993756
1.495549682,3.753563666,4.908346247,4.94026278,5.059539617,4.912442907,6.548247978,7.320610104
1.239075591,2.479841269,2.663394261,2.775990568,2.899685222,2.987222326,4.179243236,4.167480616
1.931189916,4.494013108,5.303680804,4.771058482,4.442123409,4.695596318,4.568592882,4.20315685
1.045051722,2.323304156,2.845277268,2.941318177,2.980723787,2.996913239,4.716768712,6.192439216
2.588447895,5.627678592,6.741007041,6.260986387,5.973641644,6.101289644,4.977379221,4.119125266
1.344348043,2.810276597,3.73167354,3.950766579,4.149130977,4.095727161,4.528973696,4.471935243
1.007639623,2.162373695,2.560541573,2.693168546,2.7653278,2.782965381,4.376658984,5.870697382
1.273278224,2.559694407,2.74933526,2.817671695,2.92790929,3.045328904,4.25688635,4.291358908
1.711076603,3.570133561,4.410751727,4.830555229,5.135747908,5.073248197,5.672201491,5.382542468
1.249932026,3.073358752,4.02313967,4.217334808,4.579475609,4.599500071,7.217231949,8.383873868
1.293871739,2.683910161,2.960196603,2.976817878,3.061538852,3.224019735,4.50461661,4.559553996
1.222727129,2.824650902,3.728887755,4.202179085,4.535641246,4.476532126,6.97966144,8.662315479
1.821588404,3.605041246,4.66707502,4.91518509,5.273180263,5.253973369,5.408184503,5.105574041
1.266040489,2.744527012,3.159903306,3.168236713,3.243433932,3.290923159,4.570225711,4.529927473
1.190838337,2.649715264,3.286358262,3.675528237,4.070070543,3.752887968,6.573561076,7.930209875
